"Post_title","Post_link","Post_type","Campaign_name","Posted_by","Created_date","Campaign_start_date","Campaign_end_date","Audience","Impressions","Views","Offsite_Views","Clicks","Click_through_rate_CTR","Likes","Comments","Reposts","Follows","Engagement_rate","Content_Type","Page"
"We're #hiring a new Clinical Project Lead in Giza, Al Jizah. Apply today or share this post with your network.","https://www.linkedin.com/feed/update/urn:li:activity:7242133579269296129","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-09-18,NA,NA,"All followers",628,NA,NA,45,0.0716560482978821,4,0,1,NA,0.0796178355813026,NA,"Dataclin_Group"
"We're excited to unveil our new Data Science department at DataClin! This initiative will enhance clinical research through advanced analytics and AI-driven insights. Get ready for innovative solutions that will take trials to the next level!

#DataClinCRO #ClinicalResearch #DataScience #Innovation #Healthcare #CRO","https://www.linkedin.com/feed/update/urn:li:activity:7241324500489801730","Organic",NA,"Mina Adly",2024-09-16,NA,NA,"All followers",1917,NA,NA,101,0.0526864901185036,22,1,4,NA,0.0667709931731224,NA,"Dataclin_Group"
"We're #hiring a new Human Resources Officer in Giza, Al Jizah. Apply today or share this post with your network.","https://www.linkedin.com/feed/update/urn:li:activity:7238869730223169536","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-09-09,NA,NA,"All followers",1427,NA,NA,66,0.0462508760392666,5,1,2,NA,0.0518570430576801,NA,"Dataclin_Group"
"Interested candidates, please send their updated resume to careers@dataclin.com","https://www.linkedin.com/feed/update/urn:li:activity:7237117357804969984","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-09-04,NA,NA,"All followers",758,NA,NA,24,0.0316622704267502,0,0,1,NA,0.0329815298318863,NA,"Dataclin_Group"
"DataClin CRO Group is looking to hire
Position: Full-time #Junior_General_Accountant“
Location: Giza, Egypt

#Role_and_responsibilities:
Responsibilities
 • Prepare and enter all accounting entries into the QuickBooks system.
 • Maintain records of bills and creditors' payments. Maintain records of all transactions and follow up on outstanding payments.
 • Follow up and record project costs and provide cost and profitability reports.
 • Issuing operating procedures as required
 • Responsible for preparing accounts payable and invoices and processing purchase orders and petty cash.
 • Maintain files of all relevant documents and billing control systems.
 • Handle all management and purchasing responsibilities.
 • Liaise with a financial advisor and prepare tax returns, ensuring compliance with payment, reporting, and other tax requirements.
 • Maintain property and equipment inventory records, and record information such as property description, value, and location.
 • Monitor all taxes and submit reports.
 • Oversee the day-to-day operations of management and staff.
 • Ensure that the office has the necessary supplies and that all equipment is properly maintained.
 • Work with the accounting and management team.

#Qualifications:
 Bachelor’s degree in Commerce. 
Minimum 2-3 years of experience in a relevant finance role.
QuickBooks user.
Good computer skills.
Effectively applies knowledge to provide advice or solutions based on expertise. 
Excellent interpersonal, verbal, and written communication skills
Offers support and constructive feedback to project team members.
Must be able to work independently but seek guidance when necessary, escalating issues as required
Effective time management to meet daily metrics or team objectives. Sense of urgency in completing assigned tasks.
Show commitment to and perform consistently high-quality work.

If you see yourself in this job, please send your updated resume to careers@dataclin.com","https://www.linkedin.com/feed/update/urn:li:activity:7237102789376520194","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-09-04,NA,NA,"All followers",939,NA,NA,49,0.052183173596859,1,0,1,NA,0.054313100874424,NA,"Dataclin_Group"
"We're #hiring a new Digital Marketing Specialist in Giza, Al Jizah. Apply today or share this post with your network.","https://www.linkedin.com/feed/update/urn:li:activity:7235245800849625089","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-08-30,NA,NA,"All followers",955,NA,NA,31,0.0324607342481613,1,0,2,NA,0.0356020927429199,NA,"Dataclin_Group"
"DataClin CRO Group is looking to hire
Position: #Paid_Internship_QA_Officer“
Location: Giza, Egypt

#Role_and_responsibilities:
· Participate in the development/update of the department’s Standard Operating Procedures (SOPs).
· Review prepared/updated SOPs.
· Act as quality documents controller.
· Maintains the Access Control Sheet.
·  Help assess vendors through the Vendor Assessment Questionnaire and maintain the Vendors List.
·  Act as an internal auditor.
· Follow up on the proper management of identified deviations.
· Review and approve Corrective and Preventive Action (CAPAs) plans.
·  Perform other assigned tasks.
· Follow up on the change control process.
· Perform customer/employee satisfaction surveys and produce relevant reports.

#Knowledge_and_skills:
· Good knowledge of clinical trial processes and regulations (International Conference on Harmonization guidelines; ICH-GCP, and local regulations).
· Aware of training models.
· Fluency in English both spoken and written. 
· Good computer skills.
· Advanced communication and presentation skills.
· Observant, perceptive, decisive, self-reliant, and act with fortitude.
· Ethical, open-minded, diplomatic, culturally sensitive, and collaborative.
· Open to improvement.

If you see yourself in this job, please send your updated resume to careers@dataclin.com","https://www.linkedin.com/feed/update/urn:li:activity:7234871975783931906","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-08-29,NA,NA,"All followers",6289,NA,NA,254,0.0403879806399345,31,2,22,NA,0.0491334088146687,NA,"Dataclin_Group"
"DataClin CRO Group is looking to hire
Position: #Junior_General_Accountant“
Location: Giza, Egypt

#Role_and_responsibilities:
Responsibilities
 • Prepare and enter all accounting entries into the QuickBooks system.
 • Maintain records of bills and creditors' payments. Maintain records of all transactions and follow up on outstanding payments.
 • Follow up and record project costs and provide cost and profitability reports.
 • Issuing operating procedures as required
 • Responsible for preparing accounts payable and invoices and processing purchase orders and petty cash.
 • Maintain files of all relevant documents and billing control systems.
 • Handle all management and purchasing responsibilities.
 • Liaise with a financial advisor and prepare tax returns, ensuring compliance with payment, reporting, and other tax requirements.
 • Maintain property and equipment inventory records, and record information such as property description, value, and location.
 • Monitor all taxes and submit reports.
 • Oversee the day-to-day operations of management and staff.
 • Ensure that the office has the necessary supplies and that all equipment is properly maintained.
 • Work with the accounting and management team.

#Qualifications:
 Bachelor’s degree in Commerce. 
Minimum 2-3 years of experience in a relevant finance role.
QuickBooks user.
Good computer skills.
Effectively applies knowledge to provide advice or solutions based on expertise. 
Excellent interpersonal, verbal, and written communication skills
Offers support and constructive feedback to project team members.
Must be able to work independently but seek guidance when necessary, escalating issues as required
Effective time management to meet daily metrics or team objectives. Sense of urgency in completing assigned tasks.
Show commitment to and perform consistently high-quality work.

If you see yourself in this job, please send your updated resume to careers@dataclin.com","https://www.linkedin.com/feed/update/urn:li:activity:7232320744452423682","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-08-22,NA,NA,"All followers",1889,NA,NA,65,0.0344097390770912,6,0,7,NA,0.0412916876375675,NA,"Dataclin_Group"
"We're #hiring a new Junior Accountant in Giza, Al Jizah. Apply today or share this post with your network.","https://www.linkedin.com/feed/update/urn:li:activity:7221484146227855360","Organic",NA,"Eman Hamdy Enab, ongoing SHRM-SCP",2024-07-23,NA,NA,"All followers",1733,NA,NA,80,0.0461627244949341,3,0,3,NA,0.049624927341938,NA,"Dataclin_Group"
"We were honored to participate in the annual scientific conference hosted by the esteemed Faculty Of Medicine Kasr Al-Ainy, Cairo University. Our clinical research manager, Dr. Hussein Fathy gave an insightful talk on the role and functions of a Contract Research Organization (CRO) in clinical trials, including our involvement in the EZ Vent clinical trial sponsored by EZ Medical, an Egyptian-sponsored study.

The presentation covered key topics such as: what is a Contract Research Organization (CRO) and its critical functions in clinical research; overview of different types of clinical trials and research regulations, timelines; the step-by-step process involved in conducting clinical trials; and the main challenges faced by Investigators, CROs and sponsors in clinical research.

We were glad to be part of EZ Vent clinical trial and appreciate the opportunity to contribute to the advancement of clinical research. We look forward to more such collaborations in the future.

#DataClinGroup
#ClinicalResearch #ClinicalTrials #ContractResearchOrganization #CRO #EZVent #EGMedical #FacultyOfMedicine #KasrAlAiny #CairoUniversity","https://www.linkedin.com/feed/update/urn:li:activity:7219678975420194817","Organic",NA,"Mina Adly",2024-07-18,NA,NA,"All followers",3788,NA,NA,438,0.115628302097321,50,0,5,NA,0.130147829651833,NA,"Dataclin_Group"
